politician,label
http://dbpedia.org/resource/Prabhat_Jha_(politician),Prabhat Jha
http://dbpedia.org/resource/Jaggesh,Jaggesh
http://dbpedia.org/resource/Shivraj_Singh_Chouhan,Shivraj Singh Chouhan
http://dbpedia.org/resource/Basangouda_Patil_Yatnal,Basangouda Patil Yatnal
http://dbpedia.org/resource/Mansukhbhai_Vasava,Mansukhbhai Vasava
http://dbpedia.org/resource/P._C._Gaddigoudar,P. C. Gaddigoudar
http://dbpedia.org/resource/Ramesh_Jigajinagi,Ramesh Jigajinagi
http://dbpedia.org/resource/Sumitra_Singh,Sumitra Singh
http://dbpedia.org/resource/Suresh_Angadi,Suresh Angadi
http://dbpedia.org/resource/B._C._Khanduri,B. C. Khanduri
http://dbpedia.org/resource/C._P._Thakur,C. P. Thakur
http://dbpedia.org/resource/Kushabhau_Thakre,Kushabhau Thakre
http://dbpedia.org/resource/Ramesh_Bais,Ramesh Bais
http://dbpedia.org/resource/Roopa_Ganguly,Roopa Ganguly
http://dbpedia.org/resource/Ashok_Bhatt,Ashok Bhatt
http://dbpedia.org/resource/Brajesh_Mishra,Brajesh Mishra
http://dbpedia.org/resource/Maya_Singh,Maya Singh
http://dbpedia.org/resource/O._Rajagopal,O. Rajagopal
http://dbpedia.org/resource/Su._Thirunavukkarasar,Su. Thirunavukkarasar
http://dbpedia.org/resource/Vijay_Rupani,Vijay Rupani
http://dbpedia.org/resource/Anil_Shukla_Warsi,Anil Shukla Warsi
http://dbpedia.org/resource/Basavaraj_Bommai,Basavaraj Bommai
http://dbpedia.org/resource/Basavaraj_Patil_Sedam,Basavaraj Patil Sedam
http://dbpedia.org/resource/Bhola_Singh,Bhola Singh
http://dbpedia.org/resource/Hari_Manjhi,Hari Manjhi
http://dbpedia.org/resource/Narhari_Amin,Narhari Amin
